row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
26	(0.001, 0.30000000000000004)	0.6520696038235447	0.0028066012569634533	0.5332542388230561	190	74	1.7973586420412604	0.0001313158037778983	0.005
27	(0.001, 0.30000000000000004)	0.7806592026982124	0.0020677845922927643	0.39287907253562526	190	74	1.7455776830619156	8.396056624782045e-05	0.005
28	(0.001, 0.30000000000000004)	0.8485016128333511	0.003289245018300211	0.62495655347704	190	82	1.574012706002892	0.000354478009441328	0.004
29	(0.001, 0.30000000000000004)	0.6679032853573369	0.002738800168218719	0.5203720319615566	190	76	1.917359557289553	7.835384911814014e-05	0.005
30	(0.001, 0.30000000000000004)	0.7432020867960167	0.001996968415053037	0.37942399886007705	190	58	1.5780153366155707	5.534387475547575e-05	0.005
31	(0.001, 0.30000000000000004)	0.10322455286917398	0.00022712885608366863	0.04315448265589704	190	4	1.0058658560360272	4.073284841366043e-09	0.003
32	(0.001, 0.30000000000000004)	0.39443433806480666	0.00113763751596846	0.21615112803400738	190	40	1.616252189320027	2.8815169631685178e-05	0.003
33	(0.001, 0.30000000000000004)	0.7705307564207338	0.001430666136807966	0.2718265659935135	190	55	1.4955473687238041	8.744406373717428e-05	0.004
34	(0.001, 0.30000000000000004)	0.5298498507594114	0.002580975278586856	0.4903853029315026	190	75	1.8814267087369214	3.3675036791358526e-05	0.005
35	(0.001, 0.30000000000000004)	0.8930341131246882	0.004860848281475376	0.9235611734803215	190	93	2.078601729884147	0.00048415157373382645	0.006
36	(0.001, 0.30000000000000004)	0.9213076407242299	0.004161011636279526	0.7905922108931099	190	97	1.5225298897243458	0.0008851845120735335	0.017
37	(0.001, 0.30000000000000004)	0.41240159431204637	0.0008257604402792493	0.15689448365305736	190	33	1.3554015474923882	8.135496165406764e-06	0.004
38	(0.001, 0.30000000000000004)	0.8271121798032297	0.0019959066533164252	0.37922226413012083	190	65	1.9349956134427047	8.555310586250142e-05	0.005
39	(0.001, 0.30000000000000004)	0.5127448609125029	0.0022483761551013947	0.427191469469265	190	73	1.7581413401823447	1.929726515326191e-05	0.004
40	(0.001, 0.30000000000000004)	0.8464525474628919	0.001647788406660443	0.3130797972654842	190	50	1.862268448466545	9.249034848091142e-05	0.004
41	(0.001, 0.30000000000000004)	0.8033309939961695	0.0029200471028690343	0.5548089495451165	190	85	1.9284411418655518	0.0002504294598808521	0.004
42	(0.001, 0.30000000000000004)	0.8225003051874038	0.004112451797215516	0.7813658414709481	190	90	1.810229926214108	0.0002360553616922445	0.006
43	(0.001, 0.30000000000000004)	0.8223297318128223	0.0023242454680693866	0.44160663893318347	190	73	1.8110401368249915	0.0001331939565515361	0.005
44	(0.001, 0.30000000000000004)	0.649875696656034	0.0023294144717651436	0.4425887496353773	190	68	1.83061212258381	4.276361339194956e-05	0.005
45	(0.001, 0.30000000000000004)	0.8677298652292702	0.004182294324473401	0.7946359216499461	190	95	2.059018065608006	0.0003127047215110146	0.005
46	(0.001, 0.30000000000000004)	0.8033733268506404	0.004616133730562431	0.8770654088068619	190	83	1.7935124638177682	0.00024105512695216103	0.004
47	(0.001, 0.30000000000000004)	0.826279399459744	0.0034372754928535597	0.6530823436421763	190	87	1.453886674399548	0.0001506032308277172	0.005
48	(0.001, 0.30000000000000004)	0.7866587765098656	0.0031050135082871626	0.5899525665745609	190	75	1.808272713332673	0.00015243191130509537	0.004
49	(0.001, 0.30000000000000004)	0.8129889526279812	0.0016079092461666015	0.3055027567716543	190	50	1.59787451549915	2.523138052479279e-05	0.004
50	(0.001, 0.30000000000000004)	0.8378483519894704	0.003424830816562092	0.6507178551467975	190	79	1.8436088486820665	0.0002636607074955055	0.005
51	(0.001, 0.30000000000000004)	0.7746789694914676	0.003289843676173447	0.6250702984729549	190	86	1.623310510799809	0.00021828688754377268	0.005
52	(0.001, 0.30000000000000004)	0.7992585209881301	0.002260564845559064	0.4295073206562221	190	71	1.4911540236365928	0.00016639779768296004	0.005
53	(0.001, 0.30000000000000004)	0.514624303480682	0.0013679641293352785	0.25991318457370294	190	51	1.5778809109842655	1.6149408539001264e-05	0.004
54	(0.001, 0.30000000000000004)	0.5406427599800008	0.0020479226762907627	0.38910530849524494	190	76	1.843027349060705	8.26608247510019e-05	0.004
55	(0.001, 0.30000000000000004)	0.8565564622116306	0.0028265180281195675	0.5370384253427178	190	83	1.5558091152616371	0.00015355336458722224	0.005
56	(0.001, 0.30000000000000004)	0.7665537300427969	0.003289090547409865	0.6249272040078744	190	73	1.7265913481221355	0.0002151553603166878	0.005
57	(0.001, 0.30000000000000004)	0.7117494936747171	0.0024681435097325404	0.46894726684918264	190	77	1.8157107947596982	7.227530662629045e-05	0.005
58	(0.001, 0.30000000000000004)	0.7384695830999094	0.0012051037149103038	0.22896970583295773	190	44	1.5858840160055465	4.698210027723193e-05	0.003
59	(0.001, 0.30000000000000004)	0.7128198132866184	0.0018732746759152637	0.3559221884239001	190	51	1.6636780690247563	0.00011129029234513421	0.007
60	(0.001, 0.30000000000000004)	0.7499445312114041	0.0013523745193943597	0.25695115868492835	190	64	1.4645101580102007	5.6345900467713594e-05	0.004
61	(0.001, 0.30000000000000004)	0.7586321781146437	0.003228993004393617	0.6135086708347872	190	76	1.7531069846021157	0.00018860379658303117	0.005
62	(0.001, 0.30000000000000004)	0.79172590626503	0.0031232163154853326	0.5934110999422132	190	85	1.794328632445293	0.0002840318535043407	0.005
63	(0.001, 0.30000000000000004)	0.7583680258168802	0.0024703692994276064	0.4693701668912452	190	73	1.817371339804414	0.00011388794559086257	0.005
64	(0.001, 0.30000000000000004)	0.681302763051166	0.002308781290882451	0.43866844526766574	190	73	1.9272001944135213	4.956903858333028e-05	0.004
65	(0.001, 0.30000000000000004)	0.7059298297059977	0.0022430080641987695	0.42617153219776616	190	69	1.9269394832344502	7.09877073792331e-05	0.004
66	(0.001, 0.30000000000000004)	0.48827697984674445	0.0022117907426953444	0.42024024111211544	190	71	1.574345079026771	5.177529581368301e-05	0.004
67	(0.001, 0.30000000000000004)	0.6020583160588477	0.002797289240940772	0.5314849557787467	190	74	1.8085926486754638	4.2097407944363674e-05	0.004
