row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
54	(0.001, 0.30000000000000004)	0.6863525256025841	0.0016705765367811553	0.3174095419884195	190	46	2.097384851066494	8.137315115641641e-05	0.017
55	(0.001, 0.30000000000000004)	0.8704340388630555	0.0025845216079930142	0.4910591055186726	190	57	2.1130921568838383	0.00034128983796882784	0.022000000000000002
56	(0.001, 0.30000000000000004)	0.8793361167309908	0.001971296611538584	0.374546356192331	190	47	1.8046057372338944	0.000263075980034444	0.037000000000000005
57	(0.001, 0.30000000000000004)	0.8516687066435219	0.0012351923192138162	0.2346865406506251	190	31	1.9819272717224192	5.6293382520083986e-05	0.012
58	(0.001, 0.30000000000000004)	0.8251037446675846	0.0007775082879080872	0.14772657470253658	190	29	1.8711322808933881	7.354671898748832e-05	0.011000000000000001
59	(0.001, 0.30000000000000004)	0.8099150853199789	0.0011570305439673294	0.21983580335379252	190	36	1.6055530437634922	5.6729901503377305e-05	0.012
60	(0.001, 0.30000000000000004)	0.8489640200036048	0.0007754221835233125	0.14733021486942938	190	33	2.058169115871571	9.330667576262773e-05	0.025
61	(0.001, 0.30000000000000004)	0.839563477745317	0.0020330902570046844	0.3862871488308901	190	53	2.09678787655113	0.00023330954007977359	0.04
62	(0.001, 0.30000000000000004)	0.8311384387275531	0.0023269368576135947	0.4421180029465829	190	58	2.009724572091231	0.0002595257216493341	0.02
63	(0.001, 0.30000000000000004)	0.8580915889973084	0.001375057281482981	0.2612608834817664	190	43	2.0636308531421834	7.895630353033091e-05	0.013000000000000001
64	(0.001, 0.30000000000000004)	0.6654278267558493	0.002444966696938564	0.4645436724183272	190	48	2.10342814848675	0.00011289844876982702	0.016
65	(0.001, 0.30000000000000004)	0.8124182661973033	0.0015804126981765131	0.30027841265353744	190	44	1.9746239546193949	0.00015647936340151825	0.013000000000000001
66	(0.001, 0.30000000000000004)	0.5084233839510082	0.0017266645159477415	0.3280662580300709	190	38	1.94385230476056	2.548275499142383e-05	0.013000000000000001
67	(0.001, 0.30000000000000004)	0.7387452269977881	0.002174962285390436	0.4132428342241827	190	46	2.1316652720846867	8.480525250376125e-05	0.013999999999999999
68	(0.001, 0.30000000000000004)	0.917097997525907	0.0014161683740511106	0.269071991069711	190	48	1.9959042493995665	0.00015111946836049442	0.015
69	(0.001, 0.30000000000000004)	0.6862517417634031	0.0011446878640582353	0.2174906941710647	190	30	1.9530302079122832	4.399693954609818e-05	0.011000000000000001
70	(0.001, 0.30000000000000004)	0.9282066662965698	0.0014604046134059456	0.2774768765471297	190	44	1.9227236028013484	0.00017765320943485818	0.013999999999999999
71	(0.001, 0.30000000000000004)	0.9382271375922648	0.0016773184104896554	0.31869049799303456	190	52	1.969658915700796	0.0004555399192969767	0.021
72	(0.001, 0.30000000000000004)	0.8920610576824282	0.0013666768725213144	0.25966860577904977	190	46	1.931117166239861	0.00017963470031173712	0.013000000000000001
73	(0.001, 0.30000000000000004)	0.9599646440881164	0.0014738324929403027	0.2800281736586575	190	48	2.3266772638729445	0.0004351210943975836	0.015
74	(0.001, 0.30000000000000004)	0.8408449213349094	0.0017369405448586163	0.3300187035231371	190	47	2.167205362390491	0.0001583256512218134	0.012
75	(0.001, 0.30000000000000004)	0.9439358219167204	0.0021573098009086762	0.4098888621726485	190	58	2.191652211280251	0.0005961061923237532	0.017
76	(0.001, 0.30000000000000004)	0.954210322668422	0.0011059372591068213	0.21012807923029606	190	43	2.071470022284066	0.00022316871665400967	0.018000000000000002
77	(0.001, 0.30000000000000004)	0.7812363847728145	0.0009637178098516254	0.18310638387180886	190	32	1.974355654001852	7.262578731470626e-05	0.013000000000000001
78	(0.001, 0.30000000000000004)	0.8956742846336687	0.0010969431027950543	0.2084191895310604	190	43	1.8667404017471336	6.639798097060612e-05	0.022000000000000002
79	(0.001, 0.30000000000000004)	0.9067898858593638	0.0007419347532826085	0.1409676031236956	190	32	2.040662904940147	0.00014054428533069596	0.011000000000000001
80	(0.001, 0.30000000000000004)	0.7738009103282713	0.0015086910037085035	0.2866512907046157	190	54	2.0200910398776606	0.0001113908082955861	0.021
81	(0.001, 0.30000000000000004)	0.6782795455769037	0.0006430983850423242	0.12218869315804162	190	26	1.847030137725764	3.0817162476895477e-05	0.019
82	(0.001, 0.30000000000000004)	0.793340458365525	0.002661591887502227	0.5057024586254231	190	57	2.034160686714121	0.00015268476971785902	0.043
83	(0.001, 0.30000000000000004)	0.7567852819549616	0.0009927431418888138	0.18862119695887455	190	35	2.022140093587683	6.382444406258236e-05	0.017
84	(0.001, 0.30000000000000004)	0.670428552069769	0.0019551969057600323	0.37148741209440617	190	47	1.8341539573360064	5.173078842907186e-05	0.016
85	(0.001, 0.30000000000000004)	0.7112070031963145	0.00103138894867428	0.1959639002481132	190	38	2.1476768466860188	3.887575401101406e-05	0.019
86	(0.001, 0.30000000000000004)	0.8224121448281929	0.0006606197481547068	0.1255177521493943	190	30	2.072105708355087	2.492661517186634e-05	0.016
87	(0.001, 0.30000000000000004)	0.8861364758949619	0.000985166126209907	0.1871815639798824	190	44	1.9686817914049413	0.0001329444076920705	0.02
88	(0.001, 0.30000000000000004)	0.9349912895785216	0.002299443647497221	0.4368942930244721	190	54	2.0628361718705617	0.0006041699346304719	0.025
89	(0.001, 0.30000000000000004)	0.8590819239884966	0.00221400509916216	0.4206609688408105	190	55	1.6858148140106248	0.00027453730304904944	0.036000000000000004
90	(0.001, 0.30000000000000004)	0.813086866822872	0.0023250379305060106	0.4417572067961421	190	56	2.0272044086113987	0.000185780291016624	0.027000000000000003
91	(0.001, 0.30000000000000004)	0.5856798879959764	0.0014720540229657792	0.27969026436349803	190	38	2.2024542003656107	1.203410501965374e-05	0.016
92	(0.001, 0.30000000000000004)	0.7952754560972347	0.0022371530008609697	0.42505907016358413	190	55	1.808389687101013	0.00017041598148315182	0.018000000000000002
93	(0.001, 0.30000000000000004)	0.7620827996112092	0.001775797051651371	0.3374014398137605	190	45	2.195064924460532	0.00013194753868278622	0.02
