hyper	row	n	lag	mse	sse	avg_df	r2
(0.01, 0.9000000000000001)	47	190	2	0.00804017245439962	1.5276327663359277	3.0052631578947366	0.5936480534861126
(0.01, 0.9000000000000001)	48	190	2	0.01121542231966865	2.1309302407370434	3.0	0.22940370041849625
(0.01, 0.9000000000000001)	49	190	2	0.008308058628958266	1.5785311395020705	1.0	0.03371490055562565
(0.01, 0.9000000000000001)	50	190	2	0.011454429526774777	2.1763416100872077	2.0	0.4576798901116386
(0.01, 0.9000000000000001)	51	190	2	0.010373489828582284	1.970963067430634	3.0	0.28952082584524963
(0.01, 0.9000000000000001)	52	190	2	0.007159538274161781	1.3603122720907384	2.0	0.3642224840305849
(0.01, 0.9000000000000001)	53	190	2	0.002848264233124215	0.5411702042936009	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	54	190	2	0.004505537229997728	0.8560520736995683	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	55	190	2	0.01196380987084094	2.2731238754597785	1.0052631578947369	0.3928461816878801
(0.01, 0.9000000000000001)	56	190	2	0.007515661692369058	1.4279757215501208	2.0	0.4665689001096501
(0.01, 0.9000000000000001)	57	190	2	0.006747511482470767	1.2820271816694455	2.0	0.21196899872786332
(0.01, 0.9000000000000001)	58	190	2	0.0046567809823845644	0.8847883866530675	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	59	190	2	0.006592203145546803	1.2525185976538926	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	60	190	2	0.004758371939882465	0.9040906685776686	1.0105263157894735	0.12017203146457545
(0.01, 0.9000000000000001)	61	190	2	0.011661422885943877	2.2156703483293363	1.9052631578947368	0.1283064911461772
(0.01, 0.9000000000000001)	62	190	2	0.011232335471372852	2.134143739560842	1.0421052631578946	0.2509630283281209
(0.01, 0.9000000000000001)	63	190	2	0.009744169445007876	1.8513921945514968	1.0	0.04690246097308837
(0.01, 0.9000000000000001)	64	190	2	0.007321298091560559	1.3910466373965062	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	65	190	2	0.007708386027131538	1.464593345154992	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	66	190	2	0.004368101035537587	0.8299391967521416	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	67	190	2	0.007120803326627848	1.3529526320592913	0.30526315789473685	-0.01300374138608551
(0.01, 0.9000000000000001)	68	190	2	0.005442166408417555	1.0340116175993357	2.0	0.6575707045752407
(0.01, 0.9000000000000001)	69	190	2	0.005892155306236128	1.1195095081848645	0.0	-0.01061000531900036
(0.01, 0.9000000000000001)	70	190	2	0.01038039607487347	1.9722752542259596	3.0	0.5430910801514994
(0.01, 0.9000000000000001)	71	190	2	0.008238448015936746	1.5653051230279815	3.0	0.7474611614343779
(0.01, 0.9000000000000001)	72	190	2	0.008380165554591146	1.5922314553723176	2.0	0.4605886111058714
(0.01, 0.9000000000000001)	73	190	2	0.006223745931558113	1.1825117269960417	3.0	0.8311758692436567
(0.01, 0.9000000000000001)	74	190	2	0.010519503833361126	1.998705728338614	1.0736842105263158	0.002345913621736861
(0.01, 0.9000000000000001)	75	190	2	0.010822727339220123	2.056318194451824	2.205263157894737	0.7375574799660758
(0.01, 0.9000000000000001)	76	190	2	0.007231704564450602	1.3740238672456142	2.1157894736842104	0.7224018240629397
(0.01, 0.9000000000000001)	77	190	2	0.004172618475807082	0.7927975104033453	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	78	190	2	0.01029849655606333	1.9567143456520328	1.0473684210526315	0.12029840046849638
(0.01, 0.9000000000000001)	79	190	2	0.006489310324139892	1.2329689615865795	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	80	190	2	0.006141505539340657	1.1668860524747249	0.0	-0.010610005318999692
(0.01, 0.9000000000000001)	81	190	2	0.001899417348117373	0.3608892961423009	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	82	190	2	0.013687502843216364	2.600625540211109	1.0	0.15369210231081176
(0.01, 0.9000000000000001)	83	190	2	0.0038389701186518563	0.7294043225438527	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	84	190	2	0.007009268627277269	1.3317610391826809	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	85	190	2	0.003474793546877116	0.6602107739066521	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	86	190	2	0.004538450964939037	0.8623056833384171	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	87	190	2	0.008593633670794104	1.6327903974508795	1.0	0.03732549925080464
(0.01, 0.9000000000000001)	88	190	2	0.009947441608148032	1.8900139055481262	2.0052631578947366	0.7449164225682319
(0.01, 0.9000000000000001)	89	190	2	0.011346742389764302	2.1558810540552176	2.0	0.32138423383152603
(0.01, 0.9000000000000001)	90	190	2	0.011531277791030529	2.1909427802958	0.9578947368421052	-0.004042710052101882
(0.01, 0.9000000000000001)	91	190	2	0.004261561498604998	0.8096966847349496	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	92	190	2	0.01295615171942861	2.461668826691436	0.9947368421052633	-0.010008709292121942
(0.01, 0.9000000000000001)	93	190	2	0.008779619307930371	1.66812766850677	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	94	190	2	0.007888983121295033	1.4989067930460562	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	95	190	2	0.0047311456522699065	0.8989176739312823	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	96	190	2	0.0018467977014241645	0.35089156327059123	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	97	190	2	0.01392033959852504	2.644864523719757	2.9473684210526314	0.014044914575352063
(0.01, 0.9000000000000001)	98	190	2	0.011327092669340956	2.1521476071747814	1.8	0.05689056785860613
(0.01, 0.9000000000000001)	99	190	2	0.007583770359077569	1.440916368224738	0.0	-0.010610005318999916
