hyper	row	n	lag	mse	sse	avg_df	r2
(0.001, 0.9000000000000001)	41	190	2	0.0058391268035283125	1.1094340926703794	18.457894736842107	0.6067271438012339
(0.001, 0.9000000000000001)	42	190	2	0.007022202912246262	1.3342185533267898	15.542105263157895	0.6969110070348346
(0.001, 0.9000000000000001)	43	190	2	0.0033534579482089534	0.6371570101597012	12.205263157894738	0.7436545402807169
(0.001, 0.9000000000000001)	44	190	2	0.004578623759935444	0.8699385143877343	15.736842105263158	0.31180669062866795
(0.001, 0.9000000000000001)	45	190	2	0.009749170625447792	1.8523424188350806	13.310526315789474	0.6916706447499519
(0.001, 0.9000000000000001)	46	190	2	0.004770886691657023	0.9064684714148343	12.952631578947368	0.7967815421069314
(0.001, 0.9000000000000001)	47	190	2	0.003526465334974613	0.6700284136451765	15.189473684210526	0.8217717267498976
(0.001, 0.9000000000000001)	48	190	2	0.004270407603887015	0.8113774447385329	11.026315789473685	0.7065861450897845
(0.001, 0.9000000000000001)	49	190	2	0.0024182559367631543	0.4594686279849993	10.042105263157895	0.7187399869576834
(0.001, 0.9000000000000001)	50	190	2	0.005253152474187855	0.9980989700956925	17.49473684210526	0.7512848439634132
(0.001, 0.9000000000000001)	51	190	2	0.006171552834113102	1.1725950384814894	17.74736842105263	0.5773110271191794
(0.001, 0.9000000000000001)	52	190	2	0.0033662706054457363	0.6395914150346899	10.742105263157894	0.7010702252497256
(0.001, 0.9000000000000001)	53	190	2	0.0020554282492646243	0.39053136736027866	7.3	0.2707009659550941
(0.001, 0.9000000000000001)	54	190	2	0.0038711050503799195	0.7355099595721847	14.447368421052632	0.13169566783119646
(0.001, 0.9000000000000001)	55	190	2	0.006975425222130022	1.3253307922047042	15.578947368421053	0.6460027279195453
(0.001, 0.9000000000000001)	56	190	2	0.003833690478070559	0.7284011908334063	5.994736842105263	0.7279002419131348
(0.001, 0.9000000000000001)	57	190	2	0.003019555184848432	0.5737154851212021	13.91578947368421	0.647351012014689
(0.001, 0.9000000000000001)	58	190	2	0.0015644219723456748	0.2972401747456782	17.926315789473684	0.6604906900766803
(0.001, 0.9000000000000001)	59	190	2	0.0026006195132408983	0.4941177075157707	16.268421052631577	0.6013150623423213
(0.001, 0.9000000000000001)	60	190	2	0.0017831932109958744	0.33880671008921615	8.026315789473685	0.6702857027238998
(0.001, 0.9000000000000001)	61	190	2	0.004397603108529214	0.8355445906205508	12.721052631578948	0.6712783575629642
(0.001, 0.9000000000000001)	62	190	2	0.005002588466184381	0.9504918085750323	16.63157894736842	0.6663985219475079
