hyper	row	n	lag	mse	sse	avg_df	r2
(0.01, 0.7000000000000001)	21	190	2	0.003798060998475059	0.7216315897102612	2.0	0.47470361306674325
(0.01, 0.7000000000000001)	22	190	2	0.005404672913432934	1.0268878535522574	3.973684210526316	0.714191538775141
(0.01, 0.7000000000000001)	23	190	2	0.008079248380431003	1.5350571922818907	4.0	0.6254525113359677
(0.01, 0.7000000000000001)	24	190	2	0.004929849888163958	0.9366714787511521	2.0	0.03999471169128033
(0.01, 0.7000000000000001)	25	190	2	0.011728834442399968	2.228478544055994	1.5526315789473684	0.19459975826485265
(0.01, 0.7000000000000001)	26	190	2	0.008152145780875262	1.5489076983662997	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	27	190	2	0.009490529767232823	1.8032006557742366	0.8105263157894737	-0.0067104541353830705
(0.01, 0.7000000000000001)	28	190	2	0.005162602121478677	0.9808944030809486	2.0	0.7622171985864038
(0.01, 0.7000000000000001)	29	190	2	0.008334496339566084	1.583554304517556	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	30	190	2	0.007858927805832812	1.4931962831082342	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	31	190	2	0.00025596005687846245	0.04863241080690786	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	32	190	2	0.0018985684432467358	0.3607280042168798	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	33	190	2	0.006301405527292992	1.1972670501856684	0.005263157894736842	-0.01070314214630752
(0.01, 0.7000000000000001)	34	190	2	0.0055479285590657144	1.0541064262224857	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	35	190	2	0.01484032489718365	2.8196617304648934	2.2421052631578946	0.6734297344365568
(0.01, 0.7000000000000001)	36	190	2	0.01042884348743712	1.981480262613053	3.9947368421052634	0.8027714483206874
(0.01, 0.7000000000000001)	37	190	2	0.0014202246889451363	0.2698426908995759	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	38	190	2	0.008509233473608846	1.6167543599856808	2.9894736842105263	0.2629200246649037
(0.01, 0.7000000000000001)	39	190	2	0.0046633298569645374	0.886032672823262	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	40	190	2	0.007702939179557	1.46355844411583	3.0	0.2822096069565384
(0.01, 0.7000000000000001)	41	190	2	0.010023040899831491	1.9043777709679834	2.0	0.3249350365037559
(0.01, 0.7000000000000001)	42	190	2	0.01171760908403733	2.2263457259670925	1.0105263157894737	0.4942501118777409
(0.01, 0.7000000000000001)	43	190	2	0.00726649877422427	1.3806347671026113	2.0	0.4445333749233401
(0.01, 0.7000000000000001)	44	190	2	0.006723696553529459	1.2775023451705971	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	45	190	2	0.012523214805969395	2.379410813134185	1.2736842105263158	0.6039381302135077
(0.01, 0.7000000000000001)	46	190	2	0.007393865302422153	1.404834407460209	4.994736842105263	0.6850543721243934
(0.01, 0.7000000000000001)	47	190	2	0.006901413703531171	1.3112686036709225	4.863157894736842	0.6512011517124952
(0.01, 0.7000000000000001)	48	190	2	0.009117555599063696	1.7323355638221023	3.0105263157894737	0.37354524817620227
(0.01, 0.7000000000000001)	49	190	2	0.007627297448006961	1.4491865151213226	1.0	0.11289216865296003
(0.01, 0.7000000000000001)	50	190	2	0.0102042752141402	1.938812290686638	2.9842105263157896	0.5168695531691134
(0.01, 0.7000000000000001)	51	190	2	0.009259255319660601	1.759258510735514	3.0789473684210527	0.36583462446027104
(0.01, 0.7000000000000001)	52	190	2	0.006076517311099742	1.154538289108951	2.0	0.46039633648743217
(0.01, 0.7000000000000001)	53	190	2	0.002848264233124215	0.5411702042936009	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	54	190	2	0.004505537229997728	0.8560520736995683	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	55	190	2	0.010693783169120041	2.0318188021328076	2.0	0.45729902485680873
(0.01, 0.7000000000000001)	56	190	2	0.006481926754221978	1.2315660833021758	2.0	0.5399392017040878
(0.01, 0.7000000000000001)	57	190	2	0.005732973169492512	1.0892649022035772	2.0052631578947366	0.3304552947026347
(0.01, 0.7000000000000001)	58	190	2	0.004656780982384565	0.8847883866530675	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	59	190	2	0.006592203145546803	1.2525185976538926	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	60	190	2	0.0042009658568499565	0.7981835128014918	1.7842105263157895	0.22323700155934578
(0.01, 0.7000000000000001)	61	190	2	0.009598079759026858	1.823635154215103	2.0	0.282541769967912
(0.01, 0.7000000000000001)	62	190	2	0.00934859833068734	1.7762336828305947	2.0	0.3765814953763157
(0.01, 0.7000000000000001)	63	190	2	0.00848219682337897	1.6116173964420044	1.0894736842105264	0.17033863547537587
(0.01, 0.7000000000000001)	64	190	2	0.007321298091560559	1.3910466373965062	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	65	190	2	0.007524871284364151	1.4297255440291887	1.0	0.013449743960743388
(0.01, 0.7000000000000001)	66	190	2	0.004368101035537587	0.8299391967521416	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	67	190	2	0.006538759730119398	1.2423643487226856	2.536842105263158	0.06979763843970621
(0.01, 0.7000000000000001)	68	190	2	0.004886549848080302	0.9284444711352573	2.0	0.692530934197829
(0.01, 0.7000000000000001)	69	190	2	0.005770592516648801	1.096412578163272	0.9842105263157894	0.010240187020875036
(0.01, 0.7000000000000001)	70	190	2	0.009123600699091565	1.7334841328273973	3.0	0.5984108399638532
(0.01, 0.7000000000000001)	71	190	2	0.0074119382463445115	1.4082682668054571	3.136842105263158	0.7727967363960935
(0.01, 0.7000000000000001)	72	190	2	0.007695333844201103	1.4621134303982095	3.031578947368421	0.5046696046917145
(0.01, 0.7000000000000001)	73	190	2	0.005355589249873506	1.017561957475966	3.0	0.8547253198088764
(0.01, 0.7000000000000001)	74	190	2	0.009950445739616103	1.8905846905270596	1.2421052631578948	0.05631453624925031
(0.01, 0.7000000000000001)	75	190	2	0.010179768648425394	1.934156043200825	5.0	0.7531487162414637
(0.01, 0.7000000000000001)	76	190	2	0.006311433161906264	1.1991723007621902	5.757894736842105	0.757727612116998
(0.01, 0.7000000000000001)	77	190	2	0.004172618475807081	0.7927975104033453	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	78	190	2	0.007938654569153063	1.508344368139082	3.8526315789473684	0.3218770250012516
(0.01, 0.7000000000000001)	79	190	2	0.006489310324139892	1.2329689615865795	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	80	190	2	0.006141505539340657	1.1668860524747249	0.0	-0.010610005318999693
(0.01, 0.7000000000000001)	81	190	2	0.001899417348117373	0.36088929614230086	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	82	190	2	0.012033201719263231	2.2863083266600137	2.031578947368421	0.25597870070604145
(0.01, 0.7000000000000001)	83	190	2	0.0038389701186518563	0.7294043225438527	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	84	190	2	0.007009268627277269	1.331761039182681	0.0	-0.010610005318999916
(0.01, 0.7000000000000001)	85	190	2	0.003474793546877116	0.6602107739066521	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	86	190	2	0.004538450964939037	0.8623056833384171	0.0	-0.010610005319000138
(0.01, 0.7000000000000001)	87	190	2	0.007912754205443729	1.5034232990343086	1.0	0.11359885746994569
(0.01, 0.7000000000000001)	88	190	2	0.009300442646169813	1.7670841027722646	3.0105263157894737	0.7615075036036671
(0.01, 0.7000000000000001)	89	190	2	0.009815764944090208	1.8649953393771397	2.0	0.4129475562896081
