gene	t00_rep1	t05_rep1	t1_rep1	t2_rep1	t3_rep1	t4_rep1	t5_rep1_impute-linear	t6_rep1_impute-linear	t7_rep1	t8_rep1	t10_rep1	t12_rep1
ENSG00000163659.11	3.73232322557	4.09812022128	5.00836744702	5.22433655375	5.39180197991	5.39024529624	5.09624817226	4.80225104829	4.50825392431	4.57838804683	4.50753188607	4.36060124477
ENSG00000163660.10	3.17568680369	3.22096290065	3.53384399088	3.57431482697	3.52396563738	3.36474290188	3.41986832011	3.47499373833	3.53011915655	3.49961990567	3.43143641998	3.56035214895
ENSG00000180044.4	2.22417206406	2.48201711471	1.42671095739	1.71909637693	1.66888545129	2.24239252642	2.10519545055	1.96799837468	1.83080129881	1.17980095927	1.43081295151	0.963499930057
ENSG00000113810.14	5.49818410599	5.69016745005	5.37835415708	5.40419222711	5.62755009617	5.61126971283	5.5305981345	5.44992655618	5.36925497785	5.24578487068	5.21807564762	4.98616871469
ENSG00000184378.2	2.50300829381	2.15502406203	2.20536344156	2.36951416521	1.95927890023	2.12291839722	2.19132210649	2.25972581577	2.32812952504	2.58957912133	2.37178841135	2.35183589739
ENSG00000163584.16	4.52186021098	4.97881810847	4.45330206765	4.5325690837	4.626592707	4.69340664049	4.65150300507	4.60959936966	4.56769573424	4.26646147183	4.67563158523	4.40178039476
ENSG00000075651.14	2.18714057776	2.46783448222	1.99265700776	1.90641888351	1.91998370903	1.98328682306	2.01397097047	2.04465511789	2.0753392653	2.09313580688	2.18954917855	2.26073963458
ENSG00000163728.9	2.79094796608	2.95021205567	3.07052584585	2.96177080105	3.02348080846	2.89323926981	2.93527510756	2.97731094532	3.01934678307	2.99486918082	3.08162312594	3.04710563074
ENSG00000176597.10	1.96949564853	2.53431402616	2.99728808192	2.91739881445	3.25434180531	3.07693348184	3.08253138276	3.08812928369	3.09372718461	2.91992584958	3.12631115635	2.94676220385
ENSG00000114796.14	2.25423423779	2.56391378552	2.40472586167	2.44015976682	2.46727909134	2.2968400601	2.30665105779	2.31646205548	2.32627305317	2.60460238755	2.56208590101	2.66513378025
ENSG00000180834.6	1.43607989286	1.67662248998	1.52756911603	1.50555772827	1.5566625868	1.75172951978	1.65022658518	1.54872365058	1.44722071597	1.66032374467	1.64442671997	1.2991169713
ENSG00000113790.9	2.83238130452	2.86720094987	2.65765042168	2.64302975064	2.78610949602	2.68960779575	2.79661140567	2.90361501558	3.0106186255	3.01368713181	3.00284202144	2.96246580393
ENSG00000163898.8	3.68565422205	3.65681523267	3.17452114098	3.30725242147	3.01484560994	3.29646717427	3.23904336936	3.18161956446	3.12419575955	3.59472245043	3.06807498592	3.01476645979
ENSG00000073792.14	2.39336575317	2.6286685699	2.74423322996	2.67643270375	2.57467530277	2.50268689142	2.59567724881	2.68866760621	2.7816579636	2.83436832195	2.85775337339	2.94878409065
ENSG00000244405.6	3.87884684347	3.97293699509	3.68053165334	3.88573105686	3.5324101332	3.77081735176	3.77138639086	3.77195542997	3.77252446908	3.81474641759	3.53160304779	3.39248778913
ENSG00000058866.13	2.07789334716	2.23855235095	1.76313070836	1.9145228976	1.69729881277	1.90618627835	1.82574240306	1.74529852776	1.66485465247	1.92087575904	1.78078898912	1.65997222448
