gene	t00_rep4	t05_rep4	t1_rep4	t2_rep4	t3_rep4	t4_rep4	t5_rep4	t6_rep4	t7_rep4	t8_rep4	t10_rep4	t12_rep4
ENSG00000164032.10	6.77460166448	6.73074361696	6.79865273233	6.78452936076	6.7981932483	6.75436785264	6.6834266122	6.82921302251	6.67060593114	6.70593203	6.6566859507	6.57931457326
ENSG00000109323.7	2.53945601467	2.52554027778	2.38431837809	2.55455107459	2.62422179707	2.5826936092	2.52263738068	2.75054154895	2.88431642377	2.669911872	3.03226936903	3.11203563133
ENSG00000164039.13	2.47912754798	2.48310901966	2.51745133011	2.24562923421	2.37008834262	2.52912512384	2.43446952185	2.37695545143	2.48246192383	2.67254006816	2.6333302679	2.61422236555
ENSG00000138780.13	3.4553752081	3.53420633928	3.40358406	3.31271709706	3.32693399587	3.33297463344	3.2718505402	3.27911228139	3.41834087982	3.46058314332	3.41462128875	3.24794310458
ENSG00000145348.15	2.09454119853	2.06381314826	1.84012703386	1.78892313659	1.78714637327	1.85179695413	1.78967743401	1.71720994083	2.03365362891	2.05020461277	2.17158122113	2.03614618607
ENSG00000164023.13	3.55351959234	3.64996034088	3.49080968424	3.58525328086	3.78656431876	3.86895170525	4.06886750235	4.10632067076	3.77285021187	3.72623452133	4.31707415777	4.22076877838
ENSG00000170522.8	3.51763667239	3.53184548435	3.47090248167	3.33841077108	3.40676422781	3.43478612946	3.40092621988	3.35191754111	3.4381582749	3.43543310261	3.6136776353	3.67128603345
ENSG00000138658.14	2.49651919372	2.54404040049	2.52833002435	2.48401301815	2.51491960139	2.37705743013	2.36183198826	2.34209061431	2.28318940706	2.29645478841	2.08425177991	1.92735949433
ENSG00000180801.12	2.4710608151	2.48879090962	2.59459331228	2.61040542041	2.49164871525	2.47667644631	2.31710608617	2.18930016693	2.27411353272	2.32612614315	2.05545355483	2.03539806707
ENSG00000174599.5	1.28527582012	1.3449245161	1.544923038	1.11425754158	1.33244453074	1.1966700857	1.39738486916	1.46778299834	1.40747392712	1.57597994528	1.82313692783	1.68492107252
ENSG00000145390.10	2.98574563117	3.02682458708	3.10271573044	3.13812266702	3.15059545946	3.18252202276	3.10869093018	3.11156123061	2.95838012131	2.99005521158	3.11698464775	3.06795265771
ENSG00000164096.12	4.25896462645	4.23459591906	4.22831217198	4.12865070273	4.12310450206	4.19085589538	3.94560355083	4.19190447222	4.24433513654	4.24323751134	4.13130968502	4.26362953546
ENSG00000164109.12	4.46928641393	4.47401280619	4.60546498054	4.53165261668	4.44562245496	4.40754954335	4.3549051155	4.21801876353	4.15507371779	4.3153927702	4.14077346653	3.90590590401
ENSG00000123737.11	3.84988337014	3.8474835536	3.98861251867	3.95020095273	3.92967391411	3.91888750462	3.85258820851	3.7906661523	3.69749045382	3.7677904931	3.58151534725	3.44661330526
ENSG00000181004.8	2.40490634481	2.39659945593	2.34869851759	2.39461027078	2.18230500369	2.18194818293	2.22181584762	2.31113954851	2.55988139414	2.55078122492	2.6824179526	2.80133294994
ENSG00000145375.7	3.16504018842	3.20397788943	3.17852744967	3.03153646643	3.11128777627	3.0521780736	2.97394333604	2.85430035651	3.00535156185	3.07164435503	3.03101732563	2.96034381541
ENSG00000164056.9	1.133686617	0.847854190904	2.05498028657	2.25718404593	2.20579730236	2.1688364446	2.00390282266	2.12941542056	1.67770455299	1.22752903096	2.00819547027	2.01563846397
ENSG00000142731.9	3.99690200628	4.06441933504	4.01581442451	4.05252739926	4.01203335645	3.96686403684	3.91881168651	3.81381467257	3.82150798737	3.86036257321	3.60671845177	3.37691971139
ENSG00000077684.14	3.92672480222	3.90855931139	3.88486611835	3.9149534196	4.10932258676	4.10353188863	4.16229618678	4.24905419786	4.08218329234	4.12331856226	4.3232609251	4.3439005394
ENSG00000151012.12	6.13251209294	6.21887323143	6.29368643355	6.05723565408	5.99408302247	5.73589210348	5.45929142556	5.07177943773	5.43251835077	5.64764498617	4.98300066878	5.05921899539
ENSG00000151014.5	2.64733994624	2.64089755949	2.41726887865	2.36945948166	2.35924407563	2.4134901837	2.44970956209	2.36298096195	2.45287427932	2.64588116297	2.4469799233	2.44772661542
ENSG00000137463.4	2.20102285047	2.15857153496	2.28590757568	2.10875005803	2.1700444923	2.39201560906	1.99855094313	1.9874428016	2.43717564255	2.14143981821	1.78165050236	2.07360882403
ENSG00000196782.11	3.46445716087	3.45191566328	3.3350353253	3.37202154356	3.49780919396	3.48664245429	3.50667741629	3.5493072165	3.44097982437	3.35053868759	3.49821771434	3.37330112258
ENSG00000109445.9	3.17789422594	3.12981924215	3.2741081873	3.23590861503	3.12496755898	3.12645178936	3.28535147555	3.19200441306	3.30778429012	3.20284680026	3.3029704502	3.24383861813
ENSG00000120519.13	1.3206183463	1.30449894588	1.19153066521	1.19563003254	1.29084420074	1.32661790495	1.47046583442	1.5098335202	1.29387809067	1.48445446734	1.69698859356	1.63072817154
ENSG00000170390.13	3.36004085385	3.42634657115	3.4784252892	3.38076364612	3.24817842409	2.94676773889	2.95912116774	2.88802055485	3.04722680838	3.09959658157	2.80541468855	3.0717324704
ENSG00000121211.6	4.0678428446	4.07677291155	3.9157106753	3.90839542607	3.8064173502	3.9486904187	3.71617872427	3.7595748907	3.64500172464	3.78365683694	3.56436136636	3.35154436893
ENSG00000121210.14	2.76303124482	2.81102017024	2.65689514158	2.82019555489	2.94104372236	2.90750805354	2.89213733541	2.8967768046	2.78074595393	2.77002328204	2.83906661681	2.70979952991
ENSG00000171564.10	3.75393913592	3.68344234495	4.16131845101	4.18658594255	4.12792152698	4.34038509676	4.41781167463	4.51906102133	4.17012387906	4.28429896467	4.94876834614	4.690369352
ENSG00000171560.13	3.77018430149	3.67341489842	4.08299872862	4.08784356137	4.13358546079	4.40186607686	4.42590587976	4.69972570458	4.59015132615	4.51964118916	5.1700554209	5.18113889938
ENSG00000171557.15	2.98290694629	2.88832540322	3.31064097875	3.16292769818	3.18229521631	3.43995679145	3.23781143912	3.37135819013	3.23409125477	3.3291011255	3.74402574088	3.62150345269
ENSG00000256043.2	1.23153458407	1.36492970702	1.68783316958	1.55450893561	1.26620547155	1.2963167954	1.46598580773	1.28895753982	1.31881717146	1.26695324056	1.22027196817	1.22364867052
ENSG00000109738.9	2.25395780536	2.22941646742	2.18111170249	2.06669699261	2.11369246919	2.16397525307	1.92041014306	1.96195006767	2.39563658419	2.3246851711	2.03879807804	2.27967749136
ENSG00000205208.4	4.07010723936	4.10335440985	4.1160999957	4.09094726163	4.12344181867	4.09236954003	4.13110563546	3.95760627451	3.73247727958	3.84910692334	3.87671084147	3.57206176615
ENSG00000171503.10	2.84137293861	2.81134051122	2.72579992289	2.80358953788	2.84835943757	2.79670916321	2.69536013863	2.78521103518	2.83223708805	2.82429285062	2.87195501855	2.8598399074
ENSG00000052795.11	1.99017303213	2.07386702259	2.21279602702	2.56031051267	2.78578644951	2.70126862964	2.67534103246	2.40484062333	2.12101211264	2.12772845145	2.44946911936	2.19018887374
ENSG00000109511.9	1.65013496351	1.73578132277	1.97956358994	1.26205202114	1.46352019664	1.64113692664	1.56080775189	1.21462432094	1.19936954234	1.38774894705	1.16636558982	1.21083947374
ENSG00000181381.12	3.20058572727	3.22932474903	3.21010276291	3.16390155184	3.14721772977	3.0376255929	2.92475614724	2.85758759446	2.90716919624	2.98286794156	2.74543699938	2.70563409487
ENSG00000164104.10	4.6553117862	4.64242438992	4.85562975184	4.8606320398	4.78025214004	4.7396936815	4.69520025785	4.48717723812	4.53751336668	4.40298400244	4.34349352301	4.12911971039
ENSG00000164120.12	5.00832940482	5.06287691734	5.17685199722	5.23436948627	5.31255767433	5.42942197207	5.23048990519	5.59052537587	5.60006466937	5.44441399636	5.5265789213	5.71359336253
ENSG00000109674.3	5.09947433167	5.10950351203	5.09825967492	4.82208589538	4.66598941224	4.41177104376	4.27141331916	4.2347433517	4.50818753514	4.58921448717	3.94987768436	3.92585471207
ENSG00000168556.6	2.2984298213	2.27160597015	2.29168776963	2.03416801104	2.06527243152	2.36775208814	2.21455147078	2.08042875591	2.08690988713	2.20468114427	2.05691851006	1.85317592684
ENSG00000168538.14	3.79599594966	3.84129749371	3.75684843927	3.71491118368	3.74419639456	3.76407304145	3.72811777984	3.76711697286	3.8698905224	3.89006866262	3.96997038512	3.94018547594
ENSG00000168310.9	2.99028520527	2.93572814339	2.83116283956	2.66312014861	2.79215489347	2.82034924316	2.79799334886	2.64747831554	2.93137523976	2.82968688606	2.94534563012	3.02088735336
ENSG00000151725.10	4.19603622507	4.18527672115	4.35956608237	4.44964290544	4.42838285108	4.37305903363	4.25598538993	4.22941587249	4.03948646134	4.03370343862	3.87814302331	3.56297341986
ENSG00000151726.12	3.38281258091	3.38045937554	3.23041880789	3.7682296733	4.17684225771	4.45378583653	4.82539308771	4.89924832664	4.32296593094	4.23564816156	5.42580427771	5.09749182713
ENSG00000109762.14	3.62395133281	3.70582333958	3.65980760824	3.40671393536	3.50719677746	3.47347088083	3.26635072817	3.39531199266	3.56045098575	3.54171795533	3.47886079526	3.64650687389
ENSG00000145476.14	1.64322787429	1.5316471585	1.56261925556	1.46960456757	1.59409285723	1.59122540925	1.71144943031	1.67180023048	1.77504717197	1.67801445826	1.71903038984	1.82581505527
ENSG00000179046.7	3.27717929227	3.26777175889	3.37336330405	3.03219573826	2.68917938196	2.42498271649	1.95208296009	1.76415747791	2.47817052253	2.60882332341	1.73388016279	1.94749063966
ENSG00000112877.7	2.85685905693	2.86298532837	2.79683228433	2.61556001412	2.6913228243	2.64373287549	2.63317994479	2.69870853667	2.62623453341	2.63680558553	2.51799472342	2.45246704134
ENSG00000171368.11	1.00882107968	1.10136186038	1.50642814576	1.51897317172	1.62506975482	1.87615896003	1.63580095415	1.64207509967	1.4858547627	1.3076102408	1.33920883061	1.38285373128
ENSG00000071539.12	4.31548731922	4.30144376395	4.3718854185	4.45794035697	4.36717787258	4.41002222788	4.39066036519	4.16972710673	4.28203756179	4.26462674472	4.09990136117	3.91712718181
ENSG00000112941.11	4.26255502856	4.16371226105	4.35135692534	4.3818205367	4.40995628588	4.34074635729	4.22948758122	4.52553170711	4.15613893858	4.13993374797	4.00722652009	3.99669919533
ENSG00000124279.10	4.13075347628	4.10490632024	4.07160610656	4.08114404857	4.01801132295	4.08654654272	3.99864270517	4.28331570673	4.06889502539	4.09877724689	4.06102043171	4.08290597809
ENSG00000145569.5	2.46685795303	2.56307901154	2.6422388749	3.56353467559	4.02194985659	4.34931788218	4.74265664803	4.85221172681	4.24677137153	4.02916477902	5.03193518017	4.84376048435
ENSG00000145555.13	5.06093722599	5.14267582501	5.00933656626	4.85444042249	4.89110800817	4.75042960764	4.75379260617	4.48163183125	4.5611513188	4.69878001316	4.66911398516	4.54607851719
ENSG00000113384.12	5.65870236984	5.73554953438	5.68225783211	5.76010247901	5.91074485651	5.98938903821	6.12973724276	6.09755695518	5.88913170073	5.87879477581	6.28624521342	6.21463257929
ENSG00000151388.9	2.44075419155	2.47164181441	2.38564493966	2.32236336052	2.38500842181	2.28458443628	2.37451556876	2.06048189321	2.21066162562	2.30658473554	2.14403413742	2.16449954859
ENSG00000039560.12	5.20764824455	5.18274433747	5.19766706229	5.09184220254	4.92324717189	4.80111894933	4.65805260335	4.6348573043	5.08534950853	5.14342072362	4.92012640177	4.9218519566
ENSG00000113456.17	3.56772429272	3.72928581202	3.58565534787	3.56189722867	3.56745052478	3.57717798266	3.60223045243	3.31532806418	3.3634055957	3.46469641963	3.4275269404	3.30884049022
ENSG00000113460.11	4.18227077969	4.19042434816	4.23209569323	4.0679963507	4.05367297108	4.03767030369	4.0926894941	4.02627726384	4.02314164087	4.14518586266	4.11364005002	3.9296215611
ENSG00000145604.14	4.24809967188	4.1724383954	4.31807517045	4.36964983961	4.40122877675	4.41194758435	4.23946864555	4.14812264135	4.04481146075	4.11373903756	4.14788234323	3.9387732294
ENSG00000113594.8	3.15304741637	3.16981712222	3.01675689918	3.22985970435	3.5272082333	3.61956685355	3.71687006275	3.6579923536	3.15890840266	3.12818457617	3.77988534178	3.35998263321
ENSG00000164327.11	3.50861931379	3.57143149386	3.63837155257	3.64762933553	3.68163064133	3.60107571757	3.42229070275	3.4260133827	3.53599929849	3.45095878038	3.45113678288	3.40654145982
