gene	t00_rep2plusextra	t05_rep2	t1_rep2	t2_rep2	t3_rep2	t4_rep2	t5_rep2	t6_rep2	t7_rep2	t8_rep2	t10_rep2	t12_rep2
ENSG00000075711.19	3.21932327042	3.24039769547	3.21054313769	3.07171395469	3.17396847416	3.29478796502	3.31554996419	3.28088959594	3.36771446426	3.22276918257	3.28731021625	3.48557093784
ENSG00000215375.5	0.727593764933	0.927590360858	1.18446127882	1.17463754906	1.20344842193	1.30484112065	1.21600482995	1.19995976264	1.02718199807	1.11891957112	1.30796660214	1.21432255434
ENSG00000127419.15	1.50061483666	1.30967728878	1.47374707785	1.53844323745	1.53231545399	1.34982655199	1.34858661583	1.3461181713	1.42526442663	1.57944133774	1.55287051722	1.60941089171
ENSG00000127415.11	1.96668971387	1.91174225734	1.99960068704	2.17040014602	2.22375743137	1.92200525337	1.84008291712	1.96608622486	2.04934062857	2.14914873537	2.37452536499	1.97028059749
ENSG00000127418.13	2.5539931078	2.4793138829	2.50657951572	2.47455377589	2.56933383177	2.58201457967	2.20026548662	2.20359501737	2.14484530714	2.338206247	2.13150656653	1.98786621385
ENSG00000163950.11	5.47230221979	5.44921275668	5.50725890411	5.55411962785	5.48105869086	5.47231723425	5.44235230249	5.44254977336	5.20276945307	5.08340212266	5.06236166722	5.12510173774
ENSG00000168936.9	3.34908971897	3.31970076858	3.24789290687	3.40715127936	3.34506168665	3.46757550616	3.43863010931	3.52945533988	3.36139017483	3.40794084246	3.52356099982	3.51687762987
ENSG00000013810.17	3.62066946953	3.54889714278	3.63277058879	3.72903176861	3.7116501464	3.51647816955	3.52460746749	3.44717196479	3.38687246741	3.57935486271	3.36112850743	3.16391926415
ENSG00000109685.16	3.30690085888	3.3345272926	3.33125765421	3.30620268593	3.35761830261	3.29400162667	3.26035060482	3.19188753086	3.16348492219	3.27261615796	3.06012133659	2.99182586965
ENSG00000123933.13	2.58850689513	2.46801010497	2.46276542853	2.70648606114	2.6987042347	2.71744640141	2.81460649083	2.87280531481	3.01654461958	3.09533050404	3.20010318747	3.02140733731
ENSG00000159788.17	1.53134851821	1.51053353869	1.55540526822	1.54965941789	1.67611722839	1.55457125468	1.56409372256	1.45951602101	1.38035818471	1.49512837682	1.45922193151	1.18765897155
ENSG00000145220.12	3.5809240505	3.69191017499	3.7559470959	3.59354443245	3.65629102541	3.56820331962	3.51037791404	3.51087049141	3.5722834243	3.56868752748	3.53187544681	3.53415529559
ENSG00000168824.13	0.312343367002	0.293373416112	0.226805837527	1.28358812603	1.59661825682	1.79154630647	2.13684278873	2.02208982362	2.08734768441	1.93708014772	2.30638895056	1.8750350367
ENSG00000152953.11	2.64206753448	2.61961882802	2.6804507983	2.77555897703	2.50172317785	2.53062296377	2.42390441107	2.26865337048	2.16711020618	1.82275499978	1.51563596573	1.66763764299
ENSG00000074211.12	3.53146975228	3.47103422091	3.42655334431	3.37576801035	3.36638167767	3.36868013811	3.37190284764	3.3385093209	3.33523174287	3.22978998205	3.1660465878	3.24997092478
ENSG00000163993.6	3.42599050757	3.4757814061	3.65145661144	4.29222141426	4.41855037799	4.31788417307	4.72075860165	4.81836505876	4.91882227589	4.9239100473	5.43601352799	5.1940462008
ENSG00000170871.10	3.87118973076	3.82610210165	3.93313960196	4.23916678326	4.43060797607	4.49358972995	4.51860085092	4.33815715801	4.34539825927	4.07670250822	4.2425017888	4.26429717483
ENSG00000132405.17	4.13873805754	4.15417314631	4.23240612578	4.25510361477	4.26318675593	4.23438943132	4.26343138201	4.2391922429	4.27122778942	4.08837249167	4.11671245925	4.15698518334
ENSG00000184985.15	1.80098455312	1.73266298575	1.74010654686	1.62155350316	1.7779909387	1.6958160297	1.67339222412	1.68123477196	1.76370253446	1.71045289612	1.55276000201	1.52031433129
ENSG00000196526.9	3.577275947	3.49876527596	3.71410386007	3.16597856814	3.05469051546	3.02264077534	3.01531161698	3.04137883015	3.02920691135	3.14191250508	2.99469713388	3.17154840577
ENSG00000125089.15	1.27478219607	1.25579138647	1.3506929177	1.83646041248	2.08721506387	2.07431200063	2.11080394256	2.11828020546	2.31758154234	2.40826637053	2.71157258866	2.41293383288
ENSG00000170801.8	2.22083653103	2.22160042301	2.11433059252	2.28261298983	2.36407541185	2.22182858745	1.8480274334	2.28965048058	2.2844550799	2.40123914141	2.33621111992	2.15043569746
