row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
14	(0.001, 0.30000000000000004)	0.6879102544775731	0.00038432071923919414	0.07302093665544687	190	28	2.2488542530621984	2.277557720015144e-05	0.008
15	(0.001, 0.30000000000000004)	0.9315458963536156	0.0011179462346450578	0.212409784582561	190	67	2.2099833742943265	0.00023650905170038985	0.011000000000000001
16	(0.001, 0.30000000000000004)	0.7951571583498971	0.001526286585874689	0.2899944513161909	190	70	2.1427290293774925	0.00011081316401057029	0.024
17	(0.001, 0.30000000000000004)	0.899945164012742	0.0014724990279857905	0.2797748153173002	190	77	1.8712791724629059	0.00021840201042994112	0.017
18	(0.001, 0.30000000000000004)	0.6651108559938735	0.000643163058261787	0.12220098106973952	190	38	2.1026070392057483	1.4323346734124163e-05	0.009000000000000001
19	(0.001, 0.30000000000000004)	0.5638293978659645	0.0005076607189687316	0.09645553660405903	190	32	2.0193745083782004	8.409055853447757e-06	0.008
20	(0.001, 0.30000000000000004)	0.9390403685214308	0.0012510760444102936	0.23770444843795574	190	67	1.8851512073851235	0.00038889435572853065	0.013000000000000001
21	(0.001, 0.30000000000000004)	0.8549669297398391	0.0011411099147934348	0.21681088381075256	190	56	2.17080317379612	4.735527114202442e-05	0.012
22	(0.001, 0.30000000000000004)	0.9221789840514932	0.001472050762378166	0.27968964485185155	190	64	2.2852999566536725	0.00024071358870925152	0.034
23	(0.001, 0.30000000000000004)	0.9325267087362994	0.0016294532006999654	0.30959610813299343	190	73	2.228739179343453	0.0004042986202876797	0.013999999999999999
24	(0.001, 0.30000000000000004)	0.7976362573276655	0.001017440546567241	0.1933137038477758	190	53	1.8896176287118005	8.704475725673788e-05	0.011000000000000001
25	(0.001, 0.30000000000000004)	0.9187287365361859	0.0015585969016110625	0.2961334113061018	190	69	1.8759661576048272	0.0003435950189580317	0.011000000000000001
26	(0.001, 0.30000000000000004)	0.8301260703972645	0.0016851540054489294	0.3201792610352966	190	70	2.077462066648016	0.00017613534680704923	0.011000000000000001
27	(0.001, 0.30000000000000004)	0.8769138074420328	0.0010870395036036787	0.20653750568469895	190	60	1.9596762215399288	9.25910351034509e-05	0.011000000000000001
28	(0.001, 0.30000000000000004)	0.9266087805361076	0.0015481277150919774	0.2941442658674757	190	70	1.8424876015666651	0.000275759275981613	0.01
29	(0.001, 0.30000000000000004)	0.8389993408287241	0.0014919313459887346	0.2834669557378596	190	67	2.1021934588649738	9.602913087169984e-05	0.013000000000000001
30	(0.001, 0.30000000000000004)	0.8376571917430741	0.0011152880696161894	0.211904733227076	190	60	1.8300862615515932	0.00012015439633755733	0.025
31	(0.001, 0.30000000000000004)	0.4641747626948701	0.0001556805407662525	0.029579302745587968	190	12	2.0948813454746777	8.019717310618624e-07	0.006999999999999999
32	(0.001, 0.30000000000000004)	0.6633608686301524	0.0007206953085411634	0.13693210862282104	190	40	1.7293685113662292	2.3691054311658636e-05	0.008
33	(0.001, 0.30000000000000004)	0.8921176897543069	0.0008727696277082718	0.1658262292645716	190	50	2.0553249833302774	9.073179639979e-05	0.01
34	(0.001, 0.30000000000000004)	0.7786585253471267	0.0014846633306941134	0.2820860328318815	190	68	2.0673410447337184	0.00011821270588796562	0.01
35	(0.001, 0.30000000000000004)	0.9498680888853036	0.002528753296007708	0.4804631262414645	190	96	1.9815008563500924	0.0004688845368507888	0.015
36	(0.001, 0.30000000000000004)	0.965735359707776	0.001934053726916677	0.36747020811416864	190	83	2.0436719605191414	0.0009418178027455483	0.031
37	(0.001, 0.30000000000000004)	0.5044287348390689	0.0005398573663185648	0.10257289960052736	190	38	2.095902435510929	5.342279449274678e-06	0.013999999999999999
38	(0.001, 0.30000000000000004)	0.9024555563042064	0.001084516410121784	0.2060581179231389	190	62	2.1304186621219245	0.00017951917331829326	0.012
39	(0.001, 0.30000000000000004)	0.7105670314864951	0.001040213329299348	0.19764053256687608	190	55	2.1391583796445253	2.7762353826066292e-05	0.012
40	(0.001, 0.30000000000000004)	0.8860398713865738	0.001094522710937892	0.20795931507819948	190	65	1.9752556830402672	0.00016651858941968414	0.01
41	(0.001, 0.30000000000000004)	0.9017688430437693	0.0015394352725152849	0.2924927017779041	190	79	2.091003435597508	0.0001854378366153431	0.013000000000000001
42	(0.001, 0.30000000000000004)	0.8764451888305752	0.002135576380166087	0.4057595122315565	190	73	1.8596304430720565	0.00032337827417466825	0.015
43	(0.001, 0.30000000000000004)	0.867594942838293	0.001313921081322251	0.2496450054512277	190	70	1.884250058135167	0.00015574020280081924	0.012
44	(0.001, 0.30000000000000004)	0.7590646575414335	0.0015320725532897428	0.29109378512505113	190	68	1.9972388398645893	0.00012077840941498996	0.011000000000000001
45	(0.001, 0.30000000000000004)	0.9357406170860244	0.0020821129305482154	0.3956014568041609	190	86	1.9486331740497207	0.00047883694667499865	0.02
46	(0.001, 0.30000000000000004)	0.9188138036285384	0.002024125620347106	0.38458386786595017	190	82	1.9944084990798683	0.0003811658700234033	0.013000000000000001
47	(0.001, 0.30000000000000004)	0.9105817478761672	0.001815085623476437	0.34486626846052304	190	70	1.94923134886069	0.0002682905563272664	0.011000000000000001
48	(0.001, 0.30000000000000004)	0.8871253409982722	0.0014488894850409814	0.2752890021577865	190	65	1.7848049966095494	0.0002027268590532039	0.016
49	(0.001, 0.30000000000000004)	0.8962834994502661	0.0009816699248481732	0.1865172857211529	190	51	2.043371666172123	0.00013741922883425683	0.017
50	(0.001, 0.30000000000000004)	0.9083869579557278	0.0016787775385306266	0.318967732320819	190	89	1.8129814297823788	0.00027474536631955093	0.019
51	(0.001, 0.30000000000000004)	0.8938368152798337	0.0016601840089768814	0.3154349617056075	190	78	1.801790105375212	0.0002055857830010055	0.018000000000000002
52	(0.001, 0.30000000000000004)	0.8855196747749282	0.001287305522845687	0.2445880493406805	190	67	2.0225598602667665	0.00019980716768608356	0.012
53	(0.001, 0.30000000000000004)	0.7318530042921483	0.0007398057592514332	0.1405630942577723	190	52	1.8944013299350928	4.4201039455737945e-05	0.009000000000000001
54	(0.001, 0.30000000000000004)	0.7219551081892324	0.0012587929613168554	0.2391706626502026	190	57	2.0923444473368944	6.387999947143896e-05	0.009000000000000001
55	(0.001, 0.30000000000000004)	0.9228492239682144	0.001433911956109835	0.2724432716608686	190	64	2.1889825353985244	0.0002525826129147757	0.011000000000000001
56	(0.001, 0.30000000000000004)	0.8576260056246553	0.0019956458143394053	0.3791727047244869	190	79	1.8536420811881675	0.00024229431208028232	0.013000000000000001
57	(0.001, 0.30000000000000004)	0.861862672541347	0.0012133430249733554	0.23053517474493754	190	70	1.74272766657463	0.00015936823938444975	0.012
58	(0.001, 0.30000000000000004)	0.7992857465703107	0.0007201240380681978	0.1368235672329576	190	41	1.9777588325385944	2.1581174242335518e-05	0.009000000000000001
