row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
39	(0.001, 0.30000000000000004)	0.4270528594658807	0.0026503051650226496	0.5035579813543034	190	47	1.7138522283901845	4.616357627351686e-05	0.012
40	(0.001, 0.30000000000000004)	0.8530599335751307	0.0013134092577516937	0.24954775897282178	190	43	2.0328821120814404	0.00011665039937491795	0.03
41	(0.001, 0.30000000000000004)	0.8595573088478469	0.0020647734114763363	0.39230694818050393	190	61	2.0356324224903157	0.00019536186703439373	0.025
42	(0.001, 0.30000000000000004)	0.876263933002437	0.002965622441505182	0.5634682638859846	190	58	1.9234828529317989	0.00045387489645232204	0.02
43	(0.001, 0.30000000000000004)	0.8914140763802051	0.0014235943816737684	0.270482932518016	190	48	2.1449756843163463	0.00014483989756158833	0.012
44	(0.001, 0.30000000000000004)	0.7175347698254977	0.0021338867414019184	0.40543848086636447	190	45	1.9047835625443907	0.00010483909808189917	0.028
45	(0.001, 0.30000000000000004)	0.8629048559779418	0.0037616704742508746	0.7147173901076662	190	59	1.9851918533980766	0.0003483043159666632	0.032
46	(0.001, 0.30000000000000004)	0.882637904473326	0.00246778704669564	0.4688795388721716	190	52	2.2786385362239283	0.00027465170620827317	0.014
47	(0.001, 0.30000000000000004)	0.9330713113964078	0.0013416405039636508	0.25491169575309364	190	43	2.179953588774446	9.030866182874187e-05	0.014
48	(0.001, 0.30000000000000004)	0.8689959931794738	0.0018383010888931462	0.34927720688969777	190	44	1.8832069358201762	0.00016356150134505532	0.011
49	(0.001, 0.30000000000000004)	0.8377202689068872	0.0012749233185599849	0.24223543052639712	190	40	1.9237469810279118	0.00013135405695208213	0.013
50	(0.001, 0.30000000000000004)	0.8877494750355769	0.002220079615972301	0.4218151270347372	190	44	1.9618345999820557	0.00016342219313597584	0.013
51	(0.001, 0.30000000000000004)	0.8216290059982144	0.0025335973213326257	0.4813834910531989	190	49	2.039815027638893	0.00022548134669175823	0.012
52	(0.001, 0.30000000000000004)	0.8574481599114604	0.0016115785999302698	0.30619993398675127	190	45	1.8179992670432856	9.478771007120912e-05	0.013
53	(0.001, 0.30000000000000004)	0.6056625805216912	0.0011217376576086449	0.21313015494564252	190	36	1.8720940486956588	3.304056521552523e-05	0.011
54	(0.001, 0.30000000000000004)	0.5733672029069516	0.0018312061209545768	0.3479291629813696	190	48	2.1837742046732727	4.4894822519847555e-05	0.015
55	(0.001, 0.30000000000000004)	0.8907138833886592	0.0022420337858184017	0.4259864193054963	190	58	2.0016034136798284	0.0003445726457427245	0.044
56	(0.001, 0.30000000000000004)	0.891610559034609	0.0015973303181402822	0.30349276044665363	190	47	2.018869006908764	0.00021120772224586526	0.023
57	(0.001, 0.30000000000000004)	0.8218324949076706	0.0013271090520388155	0.2521507198873749	190	39	2.143154509475364	8.188039664752678e-05	0.019
58	(0.001, 0.30000000000000004)	0.8292685602455687	0.0008824364176750915	0.16766291935826738	190	33	1.5507577171125269	3.507025041715739e-05	0.014
59	(0.001, 0.30000000000000004)	0.8254451759284992	0.0012103479704976927	0.2299661143945616	190	41	2.045608198561231	0.00010752030847283045	0.017
60	(0.001, 0.30000000000000004)	0.8560178712272768	0.0008692254532731229	0.16515283612189335	190	44	1.9116011224608094	7.924425532809809e-05	0.019
61	(0.001, 0.30000000000000004)	0.8662774087504954	0.0020992463492596858	0.3988568063593403	190	44	2.0647271843695645	0.00010820820069101789	0.013
62	(0.001, 0.30000000000000004)	0.871743803061118	0.0020409173296432074	0.3877742926322094	190	55	2.190953414686137	0.0002823813741813508	0.01
63	(0.001, 0.30000000000000004)	0.8596845528258076	0.001460210443718072	0.2774399843064337	190	45	2.0342496744690215	8.886340417885163e-05	0.012
64	(0.001, 0.30000000000000004)	0.6653430910863287	0.002024777190794557	0.38470766625096586	190	40	1.7378786222612013	0.0001070975406555208	0.025
65	(0.001, 0.30000000000000004)	0.7491472151323488	0.001772919236788342	0.33685465498978495	190	45	2.0644175410763554	0.00011768873291312376	0.036
66	(0.001, 0.30000000000000004)	0.5201559088419709	0.0016301452329509972	0.30972759426068946	190	39	2.0175261215676725	4.584103883858992e-05	0.01
67	(0.001, 0.30000000000000004)	0.7339434875627806	0.0018199711842868168	0.3457945250144952	190	48	1.9473246703992113	7.908325216754442e-05	0.016
68	(0.001, 0.30000000000000004)	0.9233288215315418	0.001255444764304149	0.2385345052177883	190	40	1.6261327213016818	0.00026684417889441536	0.014
69	(0.001, 0.30000000000000004)	0.7058012167973153	0.0009983041294209121	0.1896777845899733	190	26	1.9497506025585623	5.8057291565771774e-05	0.012
70	(0.001, 0.30000000000000004)	0.9123777251071041	0.0019579029241394907	0.3720015555865032	190	55	2.1632313899485536	0.00039530526261083443	0.035
71	(0.001, 0.30000000000000004)	0.9345864913763762	0.001806449740159074	0.343225450630224	190	49	2.3755464817459484	0.00016840933574974182	0.021
72	(0.001, 0.30000000000000004)	0.8917972098214888	0.0016267243744767746	0.3090776311505872	190	51	1.9622177428773386	0.0001726194672482806	0.022
73	(0.001, 0.30000000000000004)	0.959862677024318	0.0015592114524941322	0.29625017597388514	190	42	1.9594053298590974	0.0006339651580557493	0.03
74	(0.001, 0.30000000000000004)	0.8312827189356532	0.001650306496452826	0.3135582343260369	190	45	1.9866966106798232	0.00012685233696341225	0.013
